iter	Passed	Remaining
0	2	2442
1	4	1953
2	5	1779
3	7	1754
4	9	1796
5	11	1760
6	13	1765
7	14	1760
8	17	1825
9	19	1824
10	20	1765
11	21	1698
12	23	1695
13	25	1694
14	27	1690
15	29	1699
16	32	1765
17	34	1790
18	36	1797
19	38	1806
20	40	1811
21	43	1814
22	45	1815
23	46	1802
24	48	1794
25	50	1801
26	52	1797
27	54	1796
28	56	1784
29	57	1775
30	59	1774
31	61	1771
32	63	1764
33	65	1760
34	67	1755
35	68	1747
36	70	1740
37	72	1733
38	73	1725
39	75	1723
40	77	1721
41	79	1718
42	81	1721
43	83	1723
44	85	1716
45	87	1713
46	89	1712
47	90	1707
48	92	1706
49	95	1708
50	97	1708
51	99	1710
52	101	1711
53	102	1707
54	104	1706
55	106	1702
56	108	1699
57	110	1699
58	112	1697
59	114	1694
60	116	1693
61	118	1692
62	120	1698
63	122	1700
64	124	1699
65	127	1700
66	128	1696
67	130	1692
68	132	1686
69	134	1685
70	136	1683
71	138	1681
72	139	1679
73	141	1677
74	143	1677
75	145	1674
76	147	1670
77	149	1668
78	151	1668
79	153	1666
80	155	1664
81	157	1662
82	159	1665
83	161	1662
84	163	1658
85	165	1657
86	167	1655
87	168	1653
88	171	1653
89	173	1651
90	175	1651
91	177	1651
92	179	1649
93	181	1647
94	183	1646
95	185	1645
96	187	1646
97	189	1643
98	191	1640
99	192	1638
100	195	1637
101	196	1634
102	198	1632
103	200	1631
104	202	1627
105	204	1625
106	206	1622
107	208	1620
108	210	1618
109	211	1616
110	213	1613
111	215	1613
112	217	1612
113	219	1609
114	221	1605
115	223	1603
116	225	1600
117	227	1599
118	228	1596
119	230	1595
120	233	1594
121	235	1595
122	237	1593
123	239	1590
124	240	1587
125	242	1585
126	244	1583
127	246	1583
128	248	1579
129	250	1577
130	252	1575
131	254	1572
132	255	1569
133	257	1567
134	259	1564
135	261	1564
136	263	1562
137	265	1560
138	267	1559
139	269	1558
140	271	1553
141	272	1551
142	274	1549
143	277	1549
144	279	1549
145	281	1546
146	282	1543
147	284	1540
148	286	1538
149	288	1535
150	290	1533
151	292	1534
152	294	1532
153	296	1530
154	298	1528
155	300	1526
156	302	1524
157	303	1521
158	305	1519
159	307	1517
160	309	1515
161	311	1514
162	313	1511
163	315	1510
164	317	1507
165	319	1505
166	321	1504
167	323	1503
168	325	1501
169	327	1499
170	329	1497
171	331	1496
172	333	1494
173	334	1491
174	336	1489
175	338	1487
176	340	1485
177	342	1484
178	344	1482
179	346	1480
